N°Obs;Avez-vous déjà entendu parler des Deep Fakes ?;Comment évalueriez vous votre niveau de connaissance des Deep Fakes ?;Avez-vous déjà vu un Deep Fake sur les réseaux sociaux ?;_Sur quelles plateformes avez-vous principalement vu des Deep Fakes ? (Plusieurs choix possibles);Selon vous, à quelle fin les Deep Fakes sont-ils le plus souvent utilisés ?;Selon vous, quel est l’impact global des Deep Fakes sur la société ?;Quels domaines vous semblent les plus touchés par les deep fakes ? (Plusieurs choix possibles);Faites-vous confiance aux informations que vous trouvez sur les réseaux sociaux ?;Depuis que vous avez entendu parler des Deep Fakes, votre confiance dans les médias sociaux a-t-elle changé ?;À quelle fréquence vérifiez-vous l’authenticité d’une information avant de la partager ?;Quelles sont vos méthodes de vérification des informations en ligne ? (Plusieurs choix possibles);Avez-vous réduit la fréquence de partage d’informations sur les réseaux sociaux à cause de la méfiance liée aux Deep Fakes;Parmi les 4 photos, laquelle vous semble être une vraie photo ?;_Selon vous, laquelle vous semble être une vraie photo ?;Selon vous, quelle image est authentique ?;Parmi les 4 photos, laquelle est un Deepfakes ?;D’après vous, la personne dans cette vidéo est-elle réelle ou générée artificiellement ?;Selon vous, qui est le principal responsable de la lutte contre les deep fakes ?;Pensez-vous que les plateformes sociales devraient mettre en place des outils d’identification automatique des deep fakes ?;Seriez-vous favorable à des formations ou des campagnes de sensibilisation sur les deep fakes ?;Seriez-vous prêt(e) à suivre régulièrement des formations sur la détection des deep fakes ?;Quel est votre tranche d'âge ?;Vous êtes ...?;Quel est votre niveau d’éducation actuel ?;Quel est votre principal réseau social utilisé au quotidien ?;Clé;Date de saisie;Date de dernière modification;Date de dernier enregistrement;Temps de saisie;Langue;Progression;Dernière question saisie;Origine;Appareil utilisé pour la saisie;Campagne de diffusion
182;Oui;Peu informé(e);Oui;"X anciennement Twitter;Instagram;TikTok";Désinformation (propagande, manipulation politique);Très négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);Moins de 18 ans;Femme;Lycée;TikTok;CDFR-9EPV;20/04/2025 20:50:23;;20/04/2025 20:53:33;189,9516269;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
183;Oui;Bien informé(e);Oui;"Instagram;TikTok";Désinformation (propagande, manipulation politique);Très négatif;"Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;2;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Indifférent(e);Moins de 18 ans;Homme;Lycée;TikTok;9EA2-MTVE;20/04/2025 21:21:07;;20/04/2025 21:27:41;393,9019278;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
184;Oui;Peu informé(e);Oui;TikTok;Divertissement (humour, création artistique);Négatif;Divertissement/Célébrités;Cela dépend des sources;Fortement diminué;Parfois;Rechercher d’autres sources fiables;Pas du tout;1;3;3;3;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Peu prêt(e);Moins de 18 ans;Homme;Lycée;TikTok;7YEL-NAWJ;20/04/2025 21:27:07;;20/04/2025 21:34:25;438,06461909999996;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
185;Non;Pas du tout informé(e);Non;Autres;Autres;Très négatif;Informations financières;Non;Légèrement augmenté;Parfois;Rechercher d’autres sources fiables;Moyennement;1;3;2;4;Non, elle n'est pas réelle;Autres;Je ne sais pas;Sans opinion;Pas du tout prêt(e);Moins de 18 ans;Femme;Lycée;Aucun;9UTF-P39D;20/04/2025 22:01:47;;20/04/2025 22:09:04;436,5535889;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
186;Non;Pas du tout informé(e);Oui;"Instagram;TikTok";Désinformation (propagande, manipulation politique);Négatif;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Parfois;Rechercher d’autres sources fiables;Pas du tout;1;3;2;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Sans opinion;Oui;Indifférent(e);Moins de 18 ans;Femme;Lycée;TikTok;7TTV-BZYW;20/04/2025 22:07:48;;20/04/2025 22:11:52;244,06526639999996;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
187;Oui;Peu informé(e);Oui;"X anciennement Twitter;TikTok;YouTube";Arnaque ou fraude en ligne;Neutre;Divertissement/Célébrités;Oui;Fortement augmenté;Parfois;Rechercher d’autres sources fiables;Légèrement;1;3;3;4;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Indifférent(e);18-25 ans;Femme;Bac +2;X anciennement Twitter;45WR-LEUJ;20/04/2025 22:11:14;;20/04/2025 22:13:17;122,58827230000001;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
188;Oui;Très bien informé(e);Oui;X anciennement Twitter;Autres;Négatif;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Sans opinion;Oui;Peu prêt(e);Moins de 18 ans;Femme;Lycée;Instagram;EJZB-EXPF;20/04/2025 22:44:58;;20/04/2025 22:47:27;148,3574665;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
189;Oui;Bien informé(e);Oui;"TikTok;Autres";Désinformation (propagande, manipulation politique);Neutre;"Politique;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Pas du tout;1;3;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Sans opinion;Indifférent(e);Moins de 18 ans;Homme;Lycée;Instagram;XLCG-EWYY;21/04/2025 10:35:09;;21/04/2025 10:39:50;280,8749275;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
190;Non;Pas du tout informé(e);Oui;TikTok;Divertissement (humour, création artistique);Neutre;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Beaucoup;1;3;2;1;Oui, elle est réelle;Les plateformes de réseaux sociaux;Sans opinion;Non;Pas du tout prêt(e);18-25 ans;Homme;Bac +5 et plus;TikTok;M2QE-EHYQ;21/04/2025 13:28:34;;21/04/2025 13:38:48;613,8067273;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
191;Oui;Pas du tout informé(e);Oui;Instagram;Autres;Négatif;Politique;Non;Resté stable;Parfois;Je ne vérifie pas;Moyennement;1;2;3;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Très prêt(e);26-40 ans;Homme;Bac +5 et plus;Instagram;GGG8-PWFL;21/04/2025 13:22:43;;21/04/2025 13:40:57;1094,034492;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
192;Non;Pas du tout informé(e);Oui;TikTok;Divertissement (humour, création artistique);Neutre;Politique;Non;Légèrement diminué;Parfois;Vérifier l’auteur et la crédibilité du média;Moyennement;1;2;2;1;Oui, elle est réelle;Les gouvernements;Oui;Oui;Indifférent(e);18-25 ans;Femme;Bac +3 / Licence;TikTok;2SA4-26YK;21/04/2025 13:52:56;;21/04/2025 13:57:31;275,868722;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
193;Non;Pas du tout informé(e);Non;Autres;Désinformation (propagande, manipulation politique);Négatif;Politique;Cela dépend des sources;Fortement diminué;Rarement;Rechercher d’autres sources fiables;Pas du tout;1;3;2;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Sans opinion;Sans opinion;Indifférent(e);18-25 ans;Femme;Bac +3 / Licence;Facebook;JNRP-L3C9;21/04/2025 16:08:42;;21/04/2025 16:10:56;133,21001609999996;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
194;Oui;Peu informé(e);Je ne suis pas sûr(e);Autres;Arnaque ou fraude en ligne;Très négatif;"Divertissement/Célébrités;Informations financières";Cela dépend des sources;Resté stable;Parfois;Analyser les commentaires et réactions d’autres utilisateurs;Pas du tout;1;3;4;2;Oui, elle est réelle;Je ne sais pas;Oui;Sans opinion;Indifférent(e);26-40 ans;Femme;Bac +3 / Licence;Instagram;MW3K-MQFW;22/04/2025 01:31:26;;22/04/2025 01:41:08;581,7908549000001;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
195;Non;Pas du tout informé(e);Oui;Facebook;Divertissement (humour, création artistique);Neutre;Politique;Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;1;2;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Peu prêt(e);26-40 ans;Femme;Bac +3 / Licence;Facebook;RA6M-XKT3;22/04/2025 05:43:29;;22/04/2025 05:50:27;417,8300052;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
